종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
005320,국동,"4,060","65","1.63","4,065","4,060","442,045","1,773,910,295","3,990","4,095","3,920","500",원(KRW),"13,032,774","52,913,062,440",
001140,국보,"10,500","-100","0.94","10,550","10,500","55,088","571,775,650","10,250","10,850","10,250","5,000",원(KRW),"1,682,304","17,664,192,000",
066620,국보디자인,"22,950","-250","1.08","22,950","22,900","35,477","814,922,000","23,300","23,300","22,700","500",원(KRW),"7,500,000","172,125,000,000",
043650,국순당,"5,820","130","2.28","5,840","5,820","207,086","1,204,814,200","5,690","6,100","5,670","500",원(KRW),"17,858,304","103,935,329,280",
006050,국영지앤엠,"1,315","10","0.77","1,315","1,310","977,420","1,282,542,440","1,305","1,335","1,295","500",원(KRW),"34,895,243","45,887,244,545",
060480,국일신동,"3,160","-45","1.40","3,175","3,160","91,603","290,406,755","3,245","3,245","3,115","500",원(KRW),"11,090,000","35,044,400,000",
078130,국일제지,"881","-1","0.11","881","880","2,073,834","1,831,902,966","882","892","874","100",원(KRW),"116,391,006","102,540,476,286",
002720,국제약품,"6,180","30","0.49","6,190","6,180","293,317","1,800,501,200","6,110","6,220","6,090","1,000",원(KRW),"17,396,596","107,510,963,280",
243870,굿센,"16,300","30","0.00","18,700","16,300","12","222,000","18,700","18,700","16,300","500",원(KRW),"1,345,951","21,939,001,300",
019010,그랜드백화점,"12,150","50","0.41","12,250","12,150","8,181","99,360,750","12,150","12,250","12,000","5,000",원(KRW),"4,820,000","58,563,000,000",
186230,그린플러스,"8,100","600","8.00","8,100","7,510","151","1,133,100","7,500","8,100","7,500","500",원(KRW),"2,581,140","20,907,234,000",
014530,극동유화,"3,350","40","1.21","3,350","3,345","18,504","61,858,200","3,300","3,390","3,300","500",원(KRW),"34,869,420","116,812,557,000",
272420,극동자동화,"4,815","30","0.00","0","4,095","0","0","0","0","0","500",원(KRW),"500,000","2,407,500,000",
900070,글로벌에스엠,"1,310","10","0.77","1,310","1,305","240,469","309,218,965","1,295","1,310","1,265","0.5",미국달러(USD),"53,743,968","70,404,598,080",
204620,글로벌텍스프리,"1,460","65","4.66","1,460","1,450","1,996,699","2,934,709,325","1,405","1,545","1,370","100",원(KRW),"95,605,506","139,584,038,760",
019660,글로본,"3,525","30","0.86","3,525","3,515","232,430","813,772,665","3,530","3,550","3,405","500",원(KRW),"28,001,047","98,703,690,675",
014280,금강공업,"30,800","30","0.00","30,800","30,750","8,298","260,172,200","30,900","32,000","30,600","5,000",원(KRW),"4,855,964","149,563,691,200",
014285,금강공업우,"34,350","-300","0.87","34,350","33,950","1,678","57,518,050","34,650","34,950","33,900","5,000",원(KRW),"117,975","4,052,441,250",
053260,금강철강,"4,195","-45","1.06","4,195","4,185","62,127","259,940,880","4,250","4,300","4,120","500",원(KRW),"18,720,000","78,530,400,000",
008870,금비,"75,900","-200","0.26","76,300","75,900","917","69,589,400","76,100","76,500","75,400","5,000",원(KRW),"1,000,000","75,900,000,000",
